"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"19","Great example being set by @Genesys to bolster gender #diversity.
https://t.co/MnUtaUG0PZ https://t.co/aypWrSWMpt",FALSE,0,NA,2019-09-13 12:30:33,FALSE,NA,"1172487731605311493",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","ChandRichard1",0,FALSE,FALSE,NA,NA
"20","Check out the @pocsquared media page for a collection of papers<U+0001F4D1>/articles<U+0001F4F0>/videos<U+0001F4FA> on #Diversity in #STEM. It is up… https://t.co/uO2EfhikcG",FALSE,1,NA,2019-09-13 12:30:32,TRUE,NA,"1172487725276155905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pocsquared",1,FALSE,FALSE,NA,NA
"21","Driving Change: Diversity &amp; Inclusion in Investment Management by @CFAinstitute #diversity #investmentmanagement https://t.co/PyaiSkj4MS",FALSE,0,NA,2019-09-13 12:30:26,FALSE,NA,"1172487699695058947",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","savvyinv",0,FALSE,FALSE,NA,NA
"22","How Men and Women Can Work Together To Better Workplace Gender Equality via @EntrepreneurAPJ… https://t.co/1pYcneuQ55",FALSE,0,NA,2019-09-13 12:30:25,TRUE,NA,"1172487698583629824",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","theurbanlabz",0,FALSE,FALSE,NA,NA
"23","#Diversity advocate #VernaMyers looks at some of the attitudes we hold toward certain groups. Acknowledge your bias… https://t.co/y6BUtFVoMW",FALSE,1,NA,2019-09-13 12:30:25,TRUE,NA,"1172487695886667778",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","sabaimru",0,FALSE,FALSE,NA,NA
"24","Join us for coffee and a light breakfast and hear speaker James McKim share the 5 magic #diversity and #inclusion i… https://t.co/4Linz7qjum",FALSE,0,NA,2019-09-13 12:30:22,TRUE,NA,"1172487684562046977",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Panviva",0,FALSE,FALSE,NA,NA
"25","How diverse is your workplace? We take a look at the impact employee equality and inclusivity in the workplace can… https://t.co/ebbKuR4USy",FALSE,0,NA,2019-09-13 12:30:03,TRUE,NA,"1172487605344251904",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Paydata_Ltd",0,FALSE,FALSE,NA,NA
"26","As leaders, you also have the opportunity to support and educate your little ones to go out into life with an expan… https://t.co/VWBzk9xM3w",FALSE,0,NA,2019-09-13 12:29:30,TRUE,NA,"1172487467804635141",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RunaBouius",0,FALSE,FALSE,NA,NA
"27","We have #CasualDay at our office every Friday. We value #Diversity &amp; #Inclusivity and appreciate all our employees,… https://t.co/5w2IyevJFr",FALSE,1,NA,2019-09-13 12:29:04,TRUE,NA,"1172487359486730240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Empower_TN",0,FALSE,FALSE,NA,NA
"28","Getting ready for an amazing day with @IdeagenGlobal at the @UN - Empowering Women and Girls to align to @SDGoals [… https://t.co/3AfailnU0X",FALSE,0,NA,2019-09-13 12:29:00,TRUE,NA,"1172487341988098049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tiffani_Bova",0,FALSE,FALSE,NA,NA
"29","#diversity of opinion and style in #leadership is helpful and reduces overconfidence of all-male boards — can we do… https://t.co/jSxP5zbcuQ",FALSE,3,NA,2019-09-13 12:23:22,TRUE,NA,"1172485923608694786",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AMarshallMD",1,FALSE,FALSE,NA,NA
"30","How are you &amp; your organization honoring contributions of #diversity? “#Immigrants shape American #culture &amp; our vi… https://t.co/l167zjT7O2",FALSE,0,NA,2019-09-13 12:23:21,TRUE,NA,"1172485918881722369",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","MarilynOHearne",0,FALSE,FALSE,NA,NA
"31","“”You don’t look disabled.” The #diversity of #disability goes so far beyond the popular representations of it… Reg… https://t.co/KVScUMnL29",FALSE,14,NA,2019-09-13 12:23:17,TRUE,NA,"1172485900930027521",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","APainPrincess",9,FALSE,FALSE,NA,NA
"32","We are very excited about this event coming up very soon.. We are celebrating being Human and all living under One… https://t.co/gZlFVH03pe",FALSE,1,NA,2019-09-13 12:18:32,TRUE,NA,"1172484706245496832",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HubbubTheatre",1,FALSE,FALSE,NA,NA
"33","But decide
.
.
.
.
.
.
#wednesday #wednesdaywisdom #grind #hustle #art #wisdom #words #writersonig… https://t.co/CQebwcUvls",FALSE,0,NA,2019-09-13 12:18:09,TRUE,NA,"1172484612385378304",NA,"<a href=""https://crowdfireapp.com"" rel=""nofollow"">Crowdfire App</a>","DE_EmployS",0,FALSE,FALSE,NA,NA
"34","America's sweeping tide of #diversity https://t.co/P5USICPE6c",FALSE,0,NA,2019-09-13 12:17:45,FALSE,NA,"1172484509960409095",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","markweberqc",0,FALSE,FALSE,NA,NA
"35","Last Friday #SAWC commemorated #CasualDay to help raise awareness about #inclusivity &amp; #diversity while raising fun… https://t.co/7ct5b569Yx",FALSE,1,NA,2019-09-13 12:17:39,TRUE,NA,"1172484485377449984",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SAWCtweet",0,FALSE,FALSE,NA,NA
"36","IAM Platform Curated Tweet:

Group for Women Lawyers in Tech Expands Into Atlanta | Daily Report –… https://t.co/vuVteFAA49",FALSE,0,NA,2019-09-13 12:17:10,TRUE,NA,"1172484361276547074",NA,"<a href=""https://www.blog.iammarketingmedia.com"" rel=""nofollow"">IAMBLOG2TWITTER</a>","IAM__Network",1,FALSE,FALSE,NA,NA
"37","#outexecutives - representing our Company: Hendrik Hartje.
Still proud!
..and the next list (2019) will follow soon… https://t.co/9Ip40KXriN",FALSE,0,NA,2019-09-13 12:16:45,TRUE,NA,"1172484256427208706",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","annette_pampel",0,FALSE,FALSE,NA,NA
"38","Free carer tickets, trained access buddies, accessible toilets, dedicated parking for blue badgers, viewing platfor… https://t.co/XfpS60c77V",FALSE,0,NA,2019-09-13 12:14:45,TRUE,NA,"1172483756684451840",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","WorldonWheels99",0,FALSE,FALSE,NA,NA
"39","From the Great War to Afghanistan, Rangers FC “Lest We Forget” @RangersFC @RoyalFamily @RoyalNavy @BritishArmy… https://t.co/9XbK9DHoaf",FALSE,3,NA,2019-09-13 12:12:15,TRUE,NA,"1172483124745441281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AncreSommeScot",3,FALSE,FALSE,NA,NA
"40","Registration now open for our upcoming symposium on Inter- and Intra- person Variability in the Human Brain! Check… https://t.co/gK9Yttgrp2",FALSE,1,NA,2019-09-13 12:11:34,TRUE,NA,"1172482954599309314",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sapien_labs",0,FALSE,FALSE,NA,NA
"41","Map Figures with Jordan C. with R-Ladies Tampa, tomorrow!#RLadies #RStats #Diversity 
https://t.co/BkUo9beLaD on… https://t.co/u8MwyFJtBU",FALSE,1,NA,2019-09-13 12:08:45,TRUE,NA,"1172482244348469248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RLadiesTampa",2,FALSE,FALSE,NA,NA
"42","“If a black child has a black teacher before the end of third grade, they're 13% more likely to go to college. If t… https://t.co/uukk4bBJYJ",FALSE,10,NA,2019-09-13 12:08:00,TRUE,NA,"1172482056363884544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lacanlune",4,FALSE,FALSE,NA,NA
"43","Inquiring minds want to know: with the rampant and widespread problem of Muslim grooming gangs, why has London seem… https://t.co/2VsIOhMUFi",FALSE,1,NA,2019-09-13 12:07:04,TRUE,NA,"1172481819394154496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SassafrasSassy",0,FALSE,FALSE,NA,NA
